orig,dest,distance
AGO,MNE,5498.013748075267
AGO,MNG,9601.999708868549
AGO,MNP,14159.210772140605
AGO,MOZ,2768.587799541906
AGO,MRT,4395.82883044456
AGO,MSR,8683.806179598987
AGO,MTQ,8520.922523455658
AGO,MUS,5015.691746005465
AGO,MWI,2344.1495688066952
AGO,MYS,9810.845148240702
AGO,MYT,3577.9221677700075
AGO,NAM,1533.5883253028198
AGO,NCL,16694.478587275556
AGO,NER,2753.052923297233
AGO,NGA,2058.359397345625
AGO,NIC,11092.572428951858
AGO,NIU,18853.469693879037
AGO,NLD,6771.714995364247
AGO,NOR,7461.94156786642
AGO,NPL,8122.1578946425325
AGO,NRU,16953.074152897967
AGO,NZL,15890.102280718233
AGO,OMN,5720.410581626286
AGO,PAK,7191.902897454755
AGO,PAN,10370.96561779292
AGO,PER,10041.75434227434
AGO,PHL,11709.492696183554
AGO,PLW,13286.099404746146
AGO,PNG,14897.851539296766
AGO,POL,6512.587472576821
AGO,PRI,9108.463688322903
AGO,PRK,11266.038058973156
AGO,PRT,5811.160813550432
AGO,PRY,8026.200400019013
AGO,PSE,4751.57335077046
AGO,PYF,17909.699502076623
AGO,QAT,5239.132787040798
AGO,REU,4809.702259396465
AGO,ROU,5720.00208165527
AGO,RUS,6888.1040025213015
AGO,RWA,2000.8282189371887
AGO,SAU,4859.644269380914
AGO,SDN,3278.300878406387
AGO,SEN,4280.010442209733
AGO,SGP,10055.723891170897
AGO,SHN,2249.133654719707
AGO,SLB,16318.073037622311
AGO,SLE,3508.4939386261854
AGO,SLV,11398.844821168597
AGO,SMR,5712.3651851037785
AGO,SOM,3716.187507951302
AGO,SPM,9270.69162358371
AGO,SRB,5744.176661320523
AGO,SSD,2473.657930440298
AGO,STP,1237.87750654569
AGO,SUR,7732.332816060794
AGO,SVK,6112.091779476224
AGO,SVN,5914.277187788286
AGO,SWE,7282.2320296520975
AGO,SWZ,2676.0406986942276
AGO,SYC,4709.674891305181
AGO,SYR,4930.577688751324
AGO,TCA,9659.560365058605
AGO,TCD,2266.9861260524294
AGO,TGO,2123.0655307391826
AGO,THA,9622.218161505463
AGO,TJK,7021.250281214171
AGO,TKL,19518.455496512477
AGO,TKM,6341.931419858087
AGO,TLS,12494.29074397682
AGO,TON,18376.512819769563
AGO,TTO,8489.574363314085
